customer_id,name,region,signup_date
1,Customer 1,East,2025-02-08
2,Customer 2,West,2025-07-02
3,Customer 3,West,2025-06-03
4,Customer 4,West,2025-03-20
5,Customer 5,East,2024-04-02
6,Customer 6,West,2025-08-02
7,Customer 7,East,2025-08-19
8,Customer 8,Central,2024-02-20
9,Customer 9,West,2025-07-24
10,Customer 10,South,2025-03-05
11,Customer 11,West,2025-08-07
12,Customer 12,East,2024-04-15
13,Customer 13,East,2025-01-16
14,Customer 14,West,2025-07-31
15,Customer 15,East,2025-05-23
16,Customer 16,Central,2024-11-17
17,Customer 17,Central,2025-01-05
18,Customer 18,East,2024-09-06
19,Customer 19,South,2025-06-21
20,Customer 20,South,2025-04-04
21,Customer 21,West,2024-04-30
22,Customer 22,East,2024-12-16
23,Customer 23,Central,2025-03-07
24,Customer 24,,2024-03-20
25,Customer 25,South,2024-12-14
26,Customer 26,Central,2025-08-16
27,Customer 27,West,2024-04-05
28,Customer 28,Central,2024-03-07
29,Customer 29,South,2025-08-14
30,Customer 30,Central,2024-10-18
31,Customer 31,South,2024-01-24
32,Customer 32,South,2024-06-21
33,Customer 33,Central,2024-03-01
34,Customer 34,South,2024-05-12
35,Customer 35,Central,2025-02-04
36,Customer 36,Central,2024-03-23
37,Customer 37,Central,2025-07-16
38,Customer 38,East,2025-03-16
39,Customer 39,South,2025-03-01
40,Customer 40,Central,2024-08-24
41,Customer 41,East,2024-06-03
42,Customer 42,East,2024-01-13
43,Customer 43,East,2024-09-26
44,Customer 44,East,2025-03-05
45,Customer 45,South,2024-05-08
46,Customer 46,West,2025-04-12
47,Customer 47,Central,2025-02-11
48,Customer 48,West,2025-05-08
49,Customer 49,West,2024-07-14
50,Customer 50,East,2025-03-27
51,Customer 51,South,2024-02-23
52,Customer 52,East,2025-07-03
53,Customer 53,South,2024-01-27
54,Customer 54,East,2025-01-20
55,Customer 55,South,2024-12-21
56,Customer 56,Central,2024-05-05
57,Customer 57,Central,2025-04-22
58,Customer 58,South,2024-03-28
59,Customer 59,South,2024-09-28
60,Customer 60,East,2025-06-12
61,Customer 61,,2025-06-24
62,Customer 62,West,2025-06-24
