product_id,product_name,category,unit_price
1,Product 1,Toys,5.86
2,Product 2,Toys,420.36
3,Product 3,Electronics,470.24
4,Product 4,Home,357.95
5,Product 5,Toys,130.34
6,Product 6,Electronics,199.49
7,Product 7,Books,42.82
8,Product 8,Sports,379.05
9,Product 9,Electronics,143.92
10,Product 10,Electronics,418.16
11,Product 11,Toys,319.31
12,Product 12,Home,128.42
13,Product 13,Toys,220.94
14,Product 14,Toys,98.98
15,Product 15,Toys,393.65
16,Product 16,Sports,442.71
17,Product 17,Sports,457.14
18,Product 18,Books,276.87
19,Product 19,Electronics,29.49
20,Product 20,Sports,228.18
21,Product 21,Home,324.02
22,Product 22,Toys,245.36
23,Product 23,Books,68.02
24,Product 24,Sports,210.36
25,Product 25,Toys,152.4
26,Product 26,Toys,206.07
27,Product 27,Home,153.91
28,Product 28,Books,336.09
29,Product 29,Electronics,87.83
30,Product 30,Home,42.21
31,Product 31,Books,453.45
32,Product 32,Sports,277.44
33,Product 33,Sports,453.6
34,Product 34,Sports,216.57
35,Product 35,Books,100.24
36,Product 36,Electronics,91.47
37,Product 37,Books,50.09
38,Product 38,Home,187.31
39,Product 39,Books,105.06
40,Product 40,Electronics,376.08
41,Product 41,Sports,194.5
42,Product 42,Books,108.95
43,Product 43,Toys,172.41
44,Product 44,Electronics,251.58
45,Product 45,Books,484.0
46,Product 46,Home,344.94
47,Product 47,Books,316.67
48,Product 48,Home,50.84
49,Product 49,Home,195.36
50,Product 50,Sports,218.76
